,team_code,Opponent_code,season,Round_code,Venue_code,Referee_code,Formation_code,Day_code,Result_code,GF,GF_rolling,GA,GA_rolling
3800,0,36,2015,0,1,24,12,6,1,0,1.6666666666666667,2,0.6666666666666666
3801,0,12,2015,11,0,19,12,6,2,2,1.3333333333333333,1,1.0
3802,0,19,2015,22,1,25,12,0,0,0,2.0,0,1.3333333333333333
3803,0,23,2015,32,0,0,12,5,2,1,0.6666666666666666,0,1.0
3804,0,30,2015,33,1,15,12,5,2,2,1.0,0,0.3333333333333333
3805,0,11,2015,34,0,27,12,5,1,0,1.0,2,0.0
3806,0,18,2015,35,0,6,12,5,2,5,1.0,2,0.6666666666666666
3807,0,21,2015,36,1,2,12,6,2,3,2.3333333333333335,0,1.3333333333333333
3808,0,34,2015,37,0,28,12,5,2,3,2.6666666666666665,0,1.3333333333333333
3809,0,13,2015,1,1,19,12,5,2,2,3.6666666666666665,1,0.6666666666666666
3810,0,32,2015,2,0,18,12,5,2,3,2.6666666666666665,0,0.3333333333333333
3811,0,33,2015,3,1,24,12,6,0,1,2.6666666666666665,1,0.3333333333333333
3812,0,35,2015,4,0,21,12,5,1,1,2.0,2,0.6666666666666666
3813,0,24,2015,5,0,15,12,6,0,1,1.6666666666666667,1,1.0
3814,0,31,2015,6,1,38,12,5,2,3,1.0,1,1.3333333333333333
3815,0,1,2015,7,0,18,12,6,2,2,1.6666666666666667,0,1.3333333333333333
3816,0,20,2015,8,1,0,12,0,2,2,2.0,1,0.6666666666666666
3817,0,29,2015,9,0,15,12,5,1,0,2.3333333333333335,4,0.6666666666666666
3818,0,6,2015,10,1,39,12,0,2,2,1.3333333333333333,0,1.6666666666666667
3819,0,23,2015,12,1,2,12,5,2,1,1.3333333333333333,0,1.6666666666666667
3820,0,19,2015,13,0,28,12,2,0,3,1.0,3,1.3333333333333333
3821,0,30,2015,14,0,6,12,6,0,0,2.0,0,1.0
3822,0,11,2015,15,1,21,12,6,1,0,1.3333333333333333,1,1.0
3823,0,29,2015,16,1,19,12,1,0,0,1.0,0,1.3333333333333333
3824,0,6,2015,17,0,18,12,6,2,2,0.0,0,0.3333333333333333
3825,0,18,2015,18,1,24,12,6,2,2,0.6666666666666666,1,0.3333333333333333
3826,0,21,2015,19,0,6,12,6,1,2,1.3333333333333333,3,0.3333333333333333
3827,0,32,2015,20,1,38,12,2,1,1,2.0,2,1.3333333333333333
3828,0,33,2015,21,0,25,12,5,0,2,1.6666666666666667,2,2.0
3829,0,13,2015,24,0,21,12,5,2,2,1.6666666666666667,0,2.3333333333333335
3830,0,34,2015,25,1,2,12,5,2,4,1.6666666666666667,0,1.3333333333333333
3831,0,36,2015,26,0,6,12,5,0,3,2.6666666666666665,3,0.6666666666666666
3832,0,12,2015,27,1,39,12,6,0,1,3.0,1,1.0
3833,0,35,2015,23,1,15,12,3,2,2,2.6666666666666665,0,1.3333333333333333
3834,0,31,2015,28,0,27,12,6,0,0,2.0,0,1.3333333333333333
3835,0,24,2015,29,1,28,12,5,2,1,1.0,0,0.3333333333333333
3836,0,20,2015,30,0,2,12,6,0,2,1.0,2,0.0
3837,0,1,2015,31,1,21,12,6,2,4,1.0,0,0.6666666666666666
4560,0,19,2016,0,1,25,12,6,1,3,2.3333333333333335,4,0.6666666666666666
4561,0,18,2016,11,0,21,12,5,0,0,3.0,0,2.0
4562,0,34,2016,22,0,18,12,5,2,3,2.3333333333333335,1,1.3333333333333333
4563,0,29,2016,32,1,38,12,5,2,2,2.0,1,1.6666666666666667
4564,0,16,2016,33,0,39,12,5,2,4,1.6666666666666667,1,0.6666666666666666
4565,0,11,2016,34,1,25,12,5,2,3,3.0,0,1.0
4566,0,9,2016,35,0,6,12,6,2,1,3.0,0,0.6666666666666666
4567,0,32,2016,36,1,15,12,5,2,3,2.6666666666666665,2,0.3333333333333333
4568,0,22,2016,37,1,27,12,5,0,0,2.3333333333333335,0,0.6666666666666666
4569,0,31,2016,1,0,24,12,5,2,4,1.3333333333333333,1,0.6666666666666666
4570,0,33,2016,2,1,21,12,6,0,1,2.3333333333333335,1,1.0
4571,0,21,2016,3,0,0,12,5,0,1,1.6666666666666667,1,0.6666666666666666
4572,0,6,2016,4,1,28,12,6,2,3,2.0,1,1.0
4573,0,36,2016,5,0,6,12,5,2,5,1.6666666666666667,1,1.0
4574,0,30,2016,6,1,19,12,5,2,3,3.0,1,1.0
4575,0,13,2016,7,0,21,12,1,1,1,3.6666666666666665,2,1.0
4576,0,20,2016,8,0,24,12,6,1,1,3.0,2,1.3333333333333333
4577,0,35,2016,9,1,30,12,0,2,1,1.6666666666666667,0,1.6666666666666667
4578,0,12,2016,10,1,0,12,6,2,2,1.0,0,1.3333333333333333
4579,0,6,2016,12,0,25,12,1,0,3,1.3333333333333333,3,0.6666666666666666
4580,0,32,2016,13,0,28,12,5,2,4,2.0,0,1.0
4581,0,9,2016,14,1,15,12,6,2,2,3.0,1,1.0
4582,0,34,2016,15,1,0,12,1,1,1,3.0,2,1.3333333333333333
4583,0,11,2016,16,0,24,12,5,1,1,2.3333333333333335,3,1.0
4584,0,16,2016,17,1,21,12,5,2,2,1.3333333333333333,0,2.0
4585,0,19,2016,19,0,38,12,5,1,1,1.3333333333333333,3,1.6666666666666667
4586,0,35,2016,21,0,30,12,5,1,1,1.3333333333333333,3,2.0
4587,0,20,2016,23,1,0,12,6,0,2,1.3333333333333333,2,2.0
4588,0,36,2016,24,1,24,12,2,2,3,1.3333333333333333,0,2.6666666666666665
4589,0,12,2016,25,0,25,12,0,1,0,2.0,3,1.6666666666666667
4590,0,22,2016,26,0,2,4,0,2,2,1.6666666666666667,1,1.6666666666666667
4591,0,18,2016,20,1,28,4,2,2,1,1.6666666666666667,0,1.3333333333333333
4592,0,33,2016,28,0,25,4,6,1,0,1.0,2,1.3333333333333333
4593,0,21,2016,29,1,0,4,6,2,2,1.0,0,1.0
4594,0,29,2016,18,0,15,4,2,2,2,1.0,0,0.6666666666666666
4595,0,30,2016,30,0,27,4,5,2,4,1.3333333333333333,1,0.6666666666666666
4596,0,31,2016,27,1,39,4,1,2,2,2.6666666666666665,0,0.3333333333333333
4597,0,13,2016,31,1,25,4,6,2,3,2.6666666666666665,1,0.3333333333333333
5320,0,18,2017,0,1,27,4,4,2,4,3.0,3,0.6666666666666666
5321,0,30,2017,11,0,0,4,5,1,0,3.0,1,1.3333333333333333
5322,0,19,2017,22,0,6,4,6,1,0,2.3333333333333335,4,1.6666666666666667
5323,0,6,2017,32,1,2,4,5,2,3,1.3333333333333333,0,2.6666666666666665
5324,0,11,2017,33,0,25,4,6,0,0,1.0,0,1.6666666666666667
5325,0,35,2017,34,1,38,4,0,2,2,1.0,0,1.3333333333333333
5326,0,8,2017,35,1,18,4,6,2,2,1.6666666666666667,0,0.0
5327,0,34,2017,36,0,30,4,5,1,1,1.3333333333333333,2,0.0
5328,0,13,2017,37,0,6,4,6,2,5,1.6666666666666667,2,0.6666666666666666
5329,0,32,2017,1,1,19,4,5,2,2,2.6666666666666665,1,1.3333333333333333
5330,0,20,2017,2,0,25,4,6,1,1,2.6666666666666665,3,1.6666666666666667
